Starters,MP,FG,FGA,FG,3P,3PA,3P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,36:07,5,16,.313,0,5,.000,5,6,.833,0,7,7,9,0,2,7,1,15
Kevin Love,30:31,5,14,.357,1,4,.250,6,6,1.000,2,6,8,3,0,0,1,3,17
J.R. Smith,28:38,2,9,.222,0,3,.000,0,0,,0,1,1,1,1,0,0,1,4
George Hill,28:18,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,5
Kyle Korver,23:28,2,6,.333,1,5,.200,0,0,,1,4,5,0,1,1,0,1,5
Jayson Tatum,37:00,6,11,.545,2,5,.400,2,2,1.000,1,5,6,3,2,1,2,3,16
Terry Rozier,34:22,4,10,.400,0,3,.000,0,0,,0,6,6,8,0,0,1,0,8
Marcus Morris,34:03,7,12,.583,3,4,.750,4,5,.800,1,9,10,0,0,0,1,3,21
Jaylen Brown,28:03,9,16,.563,3,5,.600,2,2,1.000,1,7,8,1,1,1,2,2,23
Al Horford,27:23,8,10,.800,2,4,.500,2,3,.667,2,2,4,6,0,2,0,1,20
